회사명,공모가,배정안됨,상장일,상태,수요예측일,업종,정산일,종목코드,주관사,청약일,최소청약수량,환불일
,,,,,,,,,,,,
,,,,,,,,,,,,
리브스메드,55000,,2025년 12월 24일,활성,,IPO,,,"삼성, 미래",2025년 12월 16일,,2025년 12월 18일
세미파이브,24000,,2025년 12월 29일,활성,,IPO,,,삼성,2025년 12월 19일,,2025년 12월 23일
덕양에너젠,10000,,2026년 1월 30일,활성,,IPO,2026년 2월 3일,,"NH, 미래",2026년 1월 21일,,2026년 1월 23일
카나프테라퓨틱스,20000,,2026년 3월 16일,활성,,IPO,2026년 3월 18일,,한국,2026년 3월 6일,,2026년 3월 10일
리센스메디컬,11000,,2026년 3월 31일,활성,2026년 3월 9일,IPO,2026년 4월 2일,,"한국, KB",2026년 3월 20일,10,2026년 3월 24일
케이뱅크,8300,,2026년 3월 5일,활성,,IPO,2026년 3월 9일,,"NH, 삼성, 신한",2026년 2월 23일,,2026년 2월 25일
액스비스,11500,,2026년 3월 9일,활성,,IPO,2026년 3월 11일,,미래,2026년 2월 24일,,2026년 2월 26일
에스팀,8500,,2026년 3월 6일,활성,,IPO,2026년 3월 10일,,한국,2026년 2월 24일,,2026년 2월 26일
아이엠바이오로직스,26000,"연재,미희",2026년 3월 20일,활성,,IPO,2026년 3월 24일,,"한국, 신한",2026년 3월 12일,10,2026년 3월 16일
메쥬,21600,"연재,미희",2026년 3월 26일,활성,2026년 3월 5일,IPO,2026년 3월 30일,,신한,2026년 3월 17일,10,2026년 3월 19일
인벤테라,16600,연재,2026년 4월 2일,활성,2026년 3월 11일,IPO,2026년 4월 6일,,"NH, 유진",2026년 3월 24일,10,2026년 3월 26일
한패스,19000,"연재,미희,정우",2026년 3월 25일,활성,2026년 3월 6일,IPO,2026년 3월 27일,,"한국, 대신",2026년 3월 17일,10,2026년 3월 19일
코스모로보틱스,6000,,,활성,2026년 4월 16일,IPO,,,"유진, NH, 유안타",2026년 4월 28일,10,2026년 4월 30일
채비,15300,,,활성,2026년 4월 10일,IPO,,,"KB, 삼성, 대신, 하나",2026년 4월 21일,10,2026년 4월 23일
마키나락스,15000,,,활성,2026년 4월 28일,IPO,,,"미래, 현대차",2026년 5월 12일,10,2026년 5월 14일
폴레드,5000,,,활성,2026년 4월 22일,IPO,,,NH,2026년 5월 6일,10,2026년 5월 8일
피스피스스튜디오,21500,,,활성,2026년 5월 11일 → 2026년 5월 15일,IPO,,,"NH, 미래",2026년 5월 21일,10,2026년 5월 25일
